epoch,loss,ppl,accuracy
244, 3.53542, 34.30947,54.129
245, 3.52189, 33.84833,54.395
246, 3.51046, 33.46379,54.609
247, 3.49707, 33.01854,54.833
248, 3.48349, 32.57325,55.032
249, 3.46935, 32.11599,55.297
250, 3.45778, 31.74630,55.486
251, 3.44258, 31.26763,55.832
252, 3.43238, 30.95011,55.993
253, 3.41813, 30.51233,56.228
254, 3.40606, 30.14638,56.522
255, 3.39293, 29.75307,56.701
256, 3.37870, 29.33254,56.992
257, 3.36668, 28.98211,57.244
258, 3.35359, 28.60530,57.510
259, 3.34058, 28.23563,57.773
260, 3.32732, 27.86364,57.964
261, 3.31340, 27.47829,58.289
262, 3.30129, 27.14751,58.512
263, 3.28709, 26.76485,58.765
264, 3.27614, 26.47343,58.985
265, 3.26274, 26.12097,59.254
266, 3.24782, 25.73411,59.552
267, 3.23765, 25.47377,59.737
268, 3.22397, 25.12761,60.043
269, 3.20887, 24.75100,60.312
270, 3.19696, 24.45803,60.532
271, 3.18517, 24.17143,60.759
272, 3.16989, 23.80480,61.114
273, 3.15956, 23.56030,61.252
274, 3.14584, 23.23913,61.526
275, 3.13177, 22.91441,61.805
276, 3.11866, 22.61601,62.010
277, 3.10546, 22.31954,62.192
278, 3.09410, 22.06742,62.473
279, 3.07887, 21.73384,62.691
280, 3.06765, 21.49136,62.916
281, 3.05656, 21.25428,63.165
282, 3.04308, 20.96982,63.395
283, 3.02951, 20.68709,63.670
284, 3.01696, 20.42910,63.938
285, 3.00465, 20.17922,64.087
286, 2.99168, 19.91916,64.375
287, 2.97937, 19.67538,64.566
288, 2.96552, 19.40477,64.835
289, 2.95539, 19.20922,64.987
290, 2.94253, 18.96370,65.279
291, 2.92900, 18.70888,65.509
292, 2.91653, 18.47698,65.773
293, 2.90523, 18.26943,65.981
294, 2.89473, 18.07863,66.161
295, 2.88055, 17.82406,66.420
296, 2.87116, 17.65754,66.568
297, 2.85776, 17.42239,66.799
298, 2.84765, 17.24727,66.995
299, 2.83313, 16.99852,67.290
300, 2.82136, 16.79968,67.461
301, 2.81232, 16.64852,67.724
302, 2.79728, 16.39995,67.990
303, 2.78802, 16.24875,68.159
304, 2.77324, 16.01046,68.462
305, 2.76465, 15.87351,68.563
306, 2.75102, 15.65862,68.886
307, 2.73993, 15.48591,69.048
308, 2.72988, 15.33111,69.270
309, 2.71667, 15.12985,69.533
310, 2.70537, 14.95987,69.733
311, 2.69642, 14.82660,69.884
312, 2.68507, 14.65929,70.067
313, 2.67324, 14.48678,70.303
314, 2.66074, 14.30687,70.586
315, 2.65144, 14.17445,70.738
316, 2.64123, 14.03043,70.944
317, 2.62869, 13.85564,71.180
318, 2.61859, 13.71640,71.424
319, 2.60689, 13.55677,71.572
320, 2.59795, 13.43615,71.853
321, 2.58489, 13.26186,72.050
322, 2.57671, 13.15375,72.183
323, 2.56516, 13.00268,72.439
324, 2.55438, 12.86327,72.623
325, 2.54500, 12.74326,72.777
326, 2.53240, 12.58368,73.085
327, 2.52190, 12.45230,73.255
328, 2.51273, 12.33861,73.439
329, 2.50167, 12.20280,73.695
330, 2.49142, 12.07844,73.899
331, 2.48187, 11.96366,74.039
332, 2.47078, 11.83163,74.328
333, 2.46244, 11.73343,74.463
334, 2.45151, 11.60586,74.680
335, 2.44006, 11.47376,74.931
336, 2.43367, 11.40063,75.103
337, 2.42282, 11.27757,75.247
338, 2.41140, 11.14951,75.516
339, 2.40352, 11.06201,75.641
340, 2.39286, 10.94475,75.881
341, 2.38306, 10.83802,76.048
342, 2.37449, 10.74555,76.216
343, 2.36522, 10.64641,76.387
344, 2.35292, 10.51621,76.746
345, 2.34629, 10.44671,76.786
346, 2.33802, 10.36074,76.973
347, 2.32491, 10.22575,77.261
348, 2.31716, 10.14686,77.399
349, 2.31088, 10.08331,77.523
350, 2.29895, 9.96367,77.769
351, 2.28848, 9.85993,77.956
352, 2.28114, 9.78782,78.213
353, 2.27176, 9.69650,78.339
354, 2.26404, 9.62193,78.539
355, 2.25283, 9.51460,78.745
356, 2.24334, 9.42473,78.932
357, 2.23599, 9.35576,79.099
358, 2.22576, 9.26055,79.357
359, 2.21895, 9.19763,79.466
360, 2.20862, 9.10315,79.643
361, 2.20044, 9.02898,79.810
362, 2.19389, 8.97002,79.982
363, 2.18506, 8.89116,80.144
364, 2.17515, 8.80354,80.413
365, 2.16779, 8.73899,80.550
366, 2.15999, 8.67102,80.699
367, 2.15147, 8.59753,80.919
368, 2.14204, 8.51683,81.039
369, 2.13499, 8.45697,81.182
370, 2.12718, 8.39116,81.428
371, 2.11919, 8.32442,81.593
372, 2.11085, 8.25525,81.724
373, 2.10281, 8.18914,81.903
374, 2.09629, 8.13593,82.015
375, 2.08866, 8.07406,82.165
376, 2.07949, 8.00036,82.436
377, 2.07198, 7.94056,82.576
378, 2.06346, 7.87315,82.763
379, 2.05758, 7.82701,82.825
380, 2.05050, 7.77179,83.035
381, 2.03982, 7.68925,83.267
382, 2.03561, 7.65691,83.275
383, 2.02685, 7.59014,83.516
384, 2.01880, 7.52927,83.619
385, 2.01164, 7.47555,83.847
386, 2.00470, 7.42384,83.999
387, 1.99912, 7.38252,84.124
388, 1.98965, 7.31297,84.316
389, 1.98319, 7.26588,84.467
390, 1.97535, 7.20913,84.621
391, 1.96805, 7.15673,84.773
392, 1.96327, 7.12256,84.858
393, 1.95517, 7.06509,85.012
394, 1.94946, 7.02490,85.192
395, 1.94043, 6.96176,85.399
396, 1.93606, 6.93142,85.437
397, 1.92723, 6.87042,85.693
398, 1.92135, 6.83019,85.807
399, 1.91451, 6.78358,85.934
